AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
151.7079315185547,2021-09-09,290.3078308105469,2021-09-09,143.54100036621094,2021-09-09,251.6199951171875,2021-09-09
146.6861114501953,2021-09-10,288.80377197265625,2021-09-10,140.87600708007812,2021-09-10,245.42333984375,2021-09-10
147.25721740722656,2021-09-13,290.0538635253906,2021-09-13,142.33250427246094,2021-09-13,247.6666717529297,2021-09-13
145.84915161132812,2021-09-14,292.7884826660156,2021-09-14,142.54449462890625,2021-09-14,248.163330078125,2021-09-14
146.7451629638672,2021-09-15,297.7010192871094,2021-09-15,144.42950439453125,2021-09-15,251.94332885742188,2021-09-15
146.50888061523438,2021-09-16,298.0916442871094,2021-09-16,143.61000061035156,2021-09-16,252.3300018310547,2021-09-16
143.82069396972656,2021-09-17,292.8666076660156,2021-09-17,140.8000030517578,2021-09-17,253.163330078125,2021-09-17
140.74855041503906,2021-09-20,287.4266357421875,2021-09-20,138.71949768066406,2021-09-20,243.38999938964844,2021-09-20
141.2310333251953,2021-09-21,287.9149475097656,2021-09-21,139.0330047607422,2021-09-21,246.4600067138672,2021-09-21
143.6139373779297,2021-09-22,291.60675048828125,2021-09-22,140.2834930419922,2021-09-22,250.64666748046875,2021-09-22
144.57891845703125,2021-09-23,292.5638122558594,2021-09-23,141.21600341796875,2021-09-23,251.2133331298828,2021-09-23
144.6675262451172,2021-09-24,292.35870361328125,2021-09-24,142.21499633789062,2021-09-24,258.1300048828125,2021-09-24
143.14129638671875,2021-09-27,287.29974365234375,2021-09-27,141.07200622558594,2021-09-27,263.78668212890625,2021-09-27
139.73431396484375,2021-09-28,276.8984375,2021-09-28,135.8300018310547,2021-09-28,259.1866760253906,2021-09-28
140.64027404785156,2021-09-29,277.3672180175781,2021-09-29,134.35350036621094,2021-09-29,260.4366760253906,2021-09-29
139.33062744140625,2021-09-30,275.3358459472656,2021-09-30,133.67599487304688,2021-09-30,258.49334716796875,2021-09-30
140.46298217773438,2021-10-01,282.3481750488281,2021-10-01,136.54299926757812,2021-10-01,258.40667724609375,2021-10-01
137.00682067871094,2021-10-04,276.4979553222656,2021-10-04,133.6595001220703,2021-10-04,260.510009765625,2021-10-04
138.9466094970703,2021-10-05,282.0160827636719,2021-10-05,136.0229949951172,2021-10-05,260.1966552734375,2021-10-05
139.82298278808594,2021-10-06,286.2644958496094,2021-10-06,137.56500244140625,2021-10-06,260.9166564941406,2021-10-06
141.09315490722656,2021-10-07,287.9638366699219,2021-10-07,139.22500610351562,2021-10-07,264.53668212890625,2021-10-07
140.7091522216797,2021-10-08,287.9638366699219,2021-10-08,139.78550720214844,2021-10-08,261.8299865722656,2021-10-08
140.6205291748047,2021-10-11,287.3582763671875,2021-10-11,138.91400146484375,2021-10-11,263.9800109863281,2021-10-11
139.3404541015625,2021-10-12,286.0398254394531,2021-10-12,136.44900512695312,2021-10-12,268.5733337402344,2021-10-12
138.74966430664062,2021-10-13,289.3897399902344,2021-10-13,137.58200073242188,2021-10-13,270.3599853515625,2021-10-13
141.5559844970703,2021-10-14,295.6793212890625,2021-10-14,141.1510009765625,2021-10-14,272.7733459472656,2021-10-14
142.61940002441406,2021-10-15,297.10528564453125,2021-10-15,141.3679962158203,2021-10-15,281.010009765625,2021-10-15
144.30323791503906,2021-10-18,300.1133117675781,2021-10-18,142.7779998779297,2021-10-18,290.03668212890625,2021-10-18
146.4793243408203,2021-10-19,301.0313720703125,2021-10-19,143.23699951171875,2021-10-19,288.0899963378906,2021-10-19
146.97164916992188,2021-10-20,300.2304992675781,2021-10-20,141.7689971923828,2021-10-20,288.6000061035156,2021-10-20
147.18829345703125,2021-10-21,303.5023193359375,2021-10-21,141.88600158691406,2021-10-21,298.0,2021-10-21
146.41036987304688,2021-10-22,301.93963623046875,2021-10-22,137.56649780273438,2021-10-22,303.2266540527344,2021-10-22
146.36117553710938,2021-10-25,300.93365478515625,2021-10-25,137.44700622558594,2021-10-25,341.6199951171875,2021-10-25
147.03073120117188,2021-10-26,302.8674011230469,2021-10-26,139.30850219726562,2021-10-26,339.4766540527344,2021-10-26
146.56793212890625,2021-10-27,315.6224365234375,2021-10-27,146.21749877929688,2021-10-27,345.9533386230469,2021-10-27
150.23092651367188,2021-10-28,316.7748718261719,2021-10-28,145.8489990234375,2021-10-28,359.0133361816406,2021-10-28
147.50338745117188,2021-10-29,323.8751220703125,2021-10-29,148.04600524902344,2021-10-29,371.3333435058594,2021-10-29
146.67626953125,2021-11-01,321.6776428222656,2021-11-01,143.4969940185547,2021-11-01,402.86334228515625,2021-11-01
147.72003173828125,2021-11-02,325.34979248046875,2021-11-02,145.4324951171875,2021-11-02,390.6666564941406,2021-11-02
